,Tweets
75,"RT @chukaobi: New Burna Boy single this month.
Not a feature, and featuring anybody.

No, it’s not April Fool."
76,"RT @triniricanbruja: ✨Mini April Predictions💐

♈︎: conquering fears.
♉︎: unplug and unwind.
♊︎: do things for YOU.
♋︎: you can do it.
♌︎: t…"
77,RT @StateDept: .@StateDeptSpox: The Department of State is proud to recognize April as National Arab American Heritage Month. Americans of…
78,"RT @IGN: Jacqueline Rathore, a hair and makeup artist on Netflix's The Witcher, revealed that Season 2's filming is expected to wrap today,…"
79,RT @MakoMutt: Reading every tweet on April 1st like https://t.co/ntyOcHbxZO
80,I swear if this is an April Fools joke..... https://t.co/vPFVak4NSw
81,RT @TerryMosher1: My wife Mary Hughson (a.k.a. Gigot) has painted this gorgeous Montreal sunrise to cheer us up on this Easter weekend. Loo…
82,RT @withmerrci: April smells like success.
83,@Pantone294 I would’ve laughed if Betts hit that Grand Slam to win it at the end and Dodgers say ‘April Fools’ 😂
84,"RT @BellularGaming: Really funny having incredible news come in on April first.

Should be able to tell you soon! Today ain’t the day thoug…"
85,RT @sadgirlririh: Im the foo in April fools https://t.co/hnz89osa9l
86,A hilarious April Fool's prank on my body
87,RT @xavierofficials: why have april fools when my whole life is a joke
88,"RT @A100888: $ 40 🎹 Rp 540,000 🎹 1,840 PhP

🔸RT,Like,Follow me and 

@Xenos_Giveaway

🔸Turn notifs on for both of us 🔔

🔸Post Proof ! 

🔈En…"
89,"RT @SlowNewsDayShow: LOS ANGELES!!! SATURDAY APRIL 10TH 2:30pm

***** MEDIA EVENT *****

The organizers of #WeAreAllAssange and #FuckCensor…"
90,RT @thaboyjozu: It’s April but the only fool is me
91,"RT @WeareARES1: ARES are proud to host a big giveaway to our dear followers and investors.

1 winners will be rewarded 1BNB if they:

Follo…"
92,RT @Twitter: a thread of funny april fools' jokes:
93,RT @ericiskz: april fools but my life been a joke 🥲
94,RT @igbopassing: a really funny april fools joke would be me raising enough money to buy a car and driving to the other end of the country…
95,RT @JimHalpert__: no April Fool’s prank will ever top this 😂 https://t.co/hmyDuB5VRF
96,"RT @AvauKLclm79rDSq: DIMASH BE WITH ME 
DIMASH GOLDEN MV
DIMASH KIELI MEKEN

#DimashBeWithMe
#DimashQudaibergen

On April 2 on the official…"
97,RT @dearra: April baby 🔥 https://t.co/EwX97utG3l
98,i suck at april fools I can’t Lie
99,"RT @billboard: .@BTS_twt's J-Hope tried to pull an #AprilFoolsDay prank, but was caught red-""headed"" 

https://t.co/dUgAE3iCTJ"
100,"RT @dog_feelings: i wasn’t a good dog today

april fools. i was so good"
101,@bladeoffire1 @Rockies that was umps all game 🥱  april fools win in my book
102,"RT @ProjectLincoln: On this April Fools Day, let’s remember what a joke the GOP has become."
103,"RT @Kuuttituutti: A Bleppy preview of my piece for @kipozine 

Remember that the pre-orders are still open until 18th of April! So get your…"
104,RT @saimbtw: Anime fans just feel pain on April fools https://t.co/EcuBkmNr4j
105,funny little april fools joke
106,"RT @TheOracleReadsU: April will be a month of rebirth, regrowth and renewal."
107,"RT @joaanado: ✨TGID: THANK GOD IT’S DOYOUNG DAY✨

📆 Friday, 2 April 2021
🐰 Theme: Doyoung &amp; Gongmyung

Dongdong brother's💙

#NCT도영 #DOYOUNG…"
108,"*not April Fools*
Today marks six years since the day I was fired and burgled. Shoutout to the colleague  who took… https://t.co/WsdD9jxfFd"
109,@gyllenotter Ain't even April Fool's here any more
110,"RT @milkstrology: 💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐
people doing april fools pranks: aquarius, gemini, pisces, aries, virgo, sagittarius

people…"
111,RT @boodlebrain: It’s April 2021 which means my dad has been carrying this drawing of Chibi Usa I made in his wallet for twenty years strai…
112,"RT @rose_dark1843: @InsaneIdiot2 Insane idiot cancelled, April 1, 2021"
113,"RT @ProjectLincoln: On this April Fools Day, let’s remember what a joke the GOP has become."
114,"RT @alxndra_vio: April, pls be good to our mental health."
115,RT @thaboyjozu: It’s April but the only fool is me
116,RT @nuhwa: i do not eat ass APRIL FOOLS
117,@PettiTree @rondarouseyszn 100% not an April Fool’s Joke. Just don’t know if he lost his role as senior official or his entire job.
118,"RT @Serotoninnt: By the way, since its april fools and all, people might try to make you click on some link. Of course it'll probably be a…"
119,@Lavonna_oh_nana No and is not an April Fools joke btw
120,"RT @dog_feelings: i wasn’t a good dog today

april fools. i was so good"
121,RT @MikkuSushi: no april fools jokes from me...just Nessa drawings https://t.co/lJ795BE5Gd
122,RT @ArfanKHXN: I really ain’t see no April fool jokes😂😂😂 mfs was dead serious about shit not being funny this year 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂…
123,"RT @HermaineM: BREAKING NEWS:
The finger that retweets this will receive good news this month of April 🙏❤️"
124,This is the shit I have to deal with on April 1: https://t.co/RErap55fyu
125,RT @SuperStacey318: Happy Thursday! April is starting off pretty good. Woke up to a full MS ask from a publisher. That’s five publishers wh…
126,RT @ArfanKHXN: I really ain’t see no April fool jokes😂😂😂 mfs was dead serious about shit not being funny this year 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂…
127,RT @campaignwhereu: Shouldn't have expected anything for April Fools' day because this account has never posted a joke before and that will…
128,RT @sadgirlririh: Im the foo in April fools https://t.co/hnz89osa9l
129,"@LottieStarshot Don't apologise, that was grade A April fooling!"
130,RT @giantwolfsupply: Please don’t buy anything haha April fools please go buy something
131,RT @Twitter: a thread of funny april fools' jokes:
132,RT @PsychTory1: Your April will be all about ? https://t.co/i3BIfoPyl8
133,@ellle_em “April fools?” In reference to a casting announcement that I would like to be true
134,"RT @arsramay: hi april 
wish you happie 
take care of yourself 
and please don’t cry 

🥛🪥⭐️"
135,RT @morsmutual_: No way @RockstarGames announced GTA6 on April fools day!!! WTFF😱https://t.co/PLPsRcsPe1
136,"The one-shot vaccine dose is expected to be a game-changer in California, but a giant manufacturing error could cau… https://t.co/e4j5qiOd59"
137,RT @thechevypickup: april fools the holiday was a scam invented to sell more fools
138,RT @mabintou: Praying over April. May it be a peaceful month full of prosperity &amp; blessings. May the new season mark the start of positive…
139,RT @ArfanKHXN: I really ain’t see no April fool jokes😂😂😂 mfs was dead serious about shit not being funny this year 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂…
140,"RT @TheSizzleReport: Here is my list of April fools:

Josh Hawley
Ted Cruz
Kevin McCarthy
Lindsey Graham
Ron Johnson
Mo Brooks
Jim “Gym”Jor…"
141,"RT @Absolutehero69: 2nd April 2011
Kerr, Ronan (25)
Police Service Northern Ireland 
Killed by ucbt outside his home in Killyclogher near O…"
142,RT @JimHalpert__: no April Fool’s prank will ever top this 😂 https://t.co/hmyDuB5VRF
143,"WATCH: Pope Francis holds Easter Sunday Mass at the Vatican. Tune in to celebrate this Sunday, April 4 from 7:30 am… https://t.co/XSN8PQErX5"
144,April Fools in Verdansk |HWB| |JMOB| LFG https://t.co/oCj4U4CKju
145,Get Ready for RiseUp Sports Tournaments April 24th Boys &amp; Girls 4th-12th @RiseUpSportsUSA https://t.co/IMSuKFZxO7
146,3 things to lookout for to make sure you don’t get pranked on April Fools Day https://t.co/EBWk0zZcQy
147,RT @ametotaiyou_art: happy april fools~ i dont have a joke drawing but i do have scary looking #nobarakugisaki from #jjk #jujutsukaisenfana…
148,The Ignition Milly runs on April 11th! Get your spot by playing one of the many sattelites running every day! Sign… https://t.co/zTktReY370
149,RT @MikkuSushi: no april fools jokes from me...just Nessa drawings https://t.co/lJ795BE5Gd
150,"RT @dog_feelings: i wasn’t a good dog today

april fools. i was so good"
151,"RT @TheAnimatedBat: Alfred: ""Rough night of crime fighting, sir""

Bruce: ""Very.""

Alfred: ""Well, you'll be happy to know I've drawn you a b…"
152,RT @thaboyjozu: It’s April but the only fool is me
153,"RT @Nikes11075978: UPDATE: The Travis Scott x Air Jordan 6 ""British Khaki"" may be releasing on April 29th 👀 Are they a must cop or easy pas…"
154,"RT @TradingTank: $BTC.D Bitcoin dominance update.
Losing the 60 level takes us down to around 57. That's a huge drop on its own, but if it…"
155,RT @kicksonfire: The Air Jordan 5 Raging Bull returns on April 10 in full family sizing. https://t.co/7HcEV9xgBf
156,RT @heav3nsbrat: Mfs on here talking about April fools like they don’t lie every day
157,RT @minjimouse_art: Look what I found buried in my WIP folder! Does anyone still remember this Rust fit.....? 😅 Forgot to post it then and…
158,RT @_yoitdes: happy april fools to all the fools that lost a girl like me &lt;3
159,RT @JimHalpert__: no April Fool’s prank will ever top this 😂 https://t.co/hmyDuB5VRF
160,RT @UberFacts: Pornhub displayed a message that said it automatically shared the video you were watching on social media for April Fools da…
161,RT @spofiee: I’m not big on April Fool’s so I’ll just post this self portrait of me trying to navigate social media today 😂 https://t.co/jr…
162,cutting april fools stuff short JDGHBDJ now i vibe
163,"RT @Hyundai_Global: The exclusive #BehindtheScenes of #HyundaixBTS is coming to you on April 2nd, on Channel Hyundai. We’ve been collaborat…"
164,Do things seem off-kilter? It's typical of April Fool's Day or #COVID-life in general. Spend more time #outside… https://t.co/9L4qcDnK7N
165,"RT @user020182: yea   I Love April......   (i wanna d*e),,"
166,"RT @BichonToken: Don't be a fool this April 1st
Get in on our...

BICHON #minigame!

Follow+RT+Like @BichonToken and Tag 3 friends
👉Join #B…"
167,"RT @doykimzzz: ✨TGID: THANK GOD IT’S DOYOUNG DAY✨

📆 Friday, 2 April 2021
🐰 Theme: Doyoung &amp; Gongmyung

AAAA THEY'RE SO CUTE 😭😭😭😭😭

#NCT도영…"
168,"@pooowhom april 23rd, 3:07pm, Buckingham Palace🥶🥶🥶"
169,Dodgers only lost as an April Fools day joke y’all
170,"RT @Femi_Sorry: I had to check the news wasn't playing an April Fools prank by telling us about nazi police in the UK, THE DAY AFTER the go…"
171,"RT @ProjectLincoln: On this April Fools Day, let’s remember what a joke the GOP has become."
172,RT @disneylandcats: It’s April. Humans are fools. The end.
173,RT @mispolms: using april fools to gauge public response to some of the new kins I'm working on
174,"RT @ProjectLincoln: On this April Fools Day, let’s remember what a joke the GOP has become."
175,april fools day is the cruelest holiday for someone with no sense of time
176,RT @BriannaWu: Thread: The story of how @mattgaetz became a target of the Trump justice department is even crazier and weirder than you can…
177,April 2021 Book of the Month https://t.co/U6cF3d6uEN @HarCoLiving @PeggyWirgau @IronStreamMedia #Confratulations!
178,"RT @ianlauerastro: Here’s one of my most requested prints, the Winter Milky Way over the volcano Haleakala!

Aaaand it will be available IN…"
179,"RT @AmitShah: The kind of foul and derogatory language DMK leader A Raja has used for late mother of Tamil Nadu CM, shows DMK has no respec…"
180,Mother Nature said April fools huh
181,"Because of such a warm reception &amp; amazing reviews from those who have viewed our two most recent exhibits, we are… https://t.co/McbBx3J4e8"
182,"RT @OhItsK32: April will be filled with happiness. 
April will be filled with positivity. 
April will be filled with progress. 
April will…"
183,RT @ArfanKHXN: I really ain’t see no April fool jokes😂😂😂 mfs was dead serious about shit not being funny this year 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂…
184,"RT @SaskHealth: An Open Letter to the People of Saskatchewan from your Community Medical Health Officers in Saskatchewan. This Easter, Stay…"
185,RT @TheJitNextDoor: cheat on her today and tell her it was an april fools prank
186,"RT @ProjectLincoln: On this April Fools Day, let’s remember what a joke the GOP has become."
187,"RT @realQuig: My life may be an april fools joke, but this stream isn't, COME WATCH https://t.co/YBRwuY8B4u"
188,im trying to calculate the chances of april being in the promo i feel like its about time for that by now right
189,RT @lisabaduola: Rent is due tomorrow and it’s April fools. That means rent is a joke. Don’t pay it.
190,"RT @X_iTweetRandom: don’t come around me with that april fools rasshole today .
my anxiety and mental health ain’t got the time for that ch…"
191,@orynishii Lol April fools funny as hell
192,"RT @gisdnews: Notice – Due to unforeseen circumstances, Choice of School results for students entering grades 1-12 will be released beginni…"
193,The usual stuff.  Happy April fools day!  https://t.co/2Ch16eDcfy
194,RT @earthdombaby: Me waking up on the first day of April like: I SMELL TAURUS SEASON https://t.co/HrmPptLOD2
195,"RT @Doobel_S: This year I am raising money for @DirectRelief, an incredible humanitarian aid organization, whose mission is to improve the…"
196,RT @AmazingPhil: HEY GUYSS! Can’t believe it’s already April 2011?!? Come have a big LOL on @app_stereo  at 9pm with me and Danisnotonfire…
197,RT @disneyplus: Happy April “Fools!” Day. #AprilFoolsDay https://t.co/0xR9Zkt34T
198,@dilucIvr ITS APRIL WTF
199,"RT @peckiihydnellum: for april fools day please be mindful of people with psychosis. dont mock DAs, dont pretend you never existed and was…"
200,"RT @A100888: $ 40 🎹 Rp 540,000 🎹 1,840 PhP

🔸RT,Like,Follow me and 

@Xenos_Giveaway

🔸Turn notifs on for both of us 🔔

🔸Post Proof ! 

🔈En…"
201,@Justin_Fiedler I was over April Fools when I turned 12
202,((Just a reminder that I turned this account into a househusbu Zhongli RP account for April Fool's!! Will go back t… https://t.co/YDQcHcqY0K
203,RT @LtlPaperForest: Happy April! 🌺 I’m having a 15% off Spring Cleaning Sale in my Etsy shop from April 1st-5th! ✨ I’m hoping to make room…
204,"RT @kureiiro: ✨ Genshin Impact Preorder + Giveaway! ✨

Shop Link | https://t.co/6L7St8Bli0

Giveaway Info:
✦ Retweet (no QRTs)
✦ Winner get…"
205,"RT @BgyoUnofficial: UPDATE!

The Light|Official Music video|BGYO

🌀BGYO Official

Current Count : 2,698,161

As of April 1  of 1:19 pm

Kee…"
206,Definitely announcing my pregnancy on April 1st
207,RT @derekedwardsgb: hi @WilliamHill april fools. just stuck 1000 quid on red as an april fools prank but it lost. so can i get me money bac…
208,@mtgreenee I wish this was an April fools joke
209,RT @khalilorbekilld: The April Aries have arrived &gt; https://t.co/Xtwfl7gVA3
210,"RT @samaanthaax_: Men deserve the world ♥️

Happy April Fools Everyone"
211,RT @JimHalpert__: no April Fool’s prank will ever top this 😂 https://t.co/hmyDuB5VRF
212,Watch Godzilla vs. Kong on HBO Max April 1 in uk. Godzilla vs. Kong will be available to HBO Max subscribers the sa… https://t.co/Kgi4kMC2pC
213,RT @MBForex: US #Dollar Outlook: $DXY Breakout Vulnerable into April Open / #NFP - $USD Levels -  https://t.co/YvmedKGZFj https://t.co/0XVe…
214,RT @Pastor__West: You will touch sooo much money in April! 🤩 claiming it now..
215,"RT @_XboxNews: No it's not an April fools' joke, Outriders is available today on #Xbox Game Pass! https://t.co/QcNiEdBoMx"
216,RT @_angelavenger: Fuck April fools bitch I will 360 spin kick you in your fucking jaw bitch fuck you
217,"RT @VexKing: HELLO APRIL 💫

• Upgrade mindset
• Set new intentions
• Take positive actions
• Attract great blessings"
218,RT @ArfanKHXN: I really ain’t see no April fool jokes😂😂😂 mfs was dead serious about shit not being funny this year 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂…
219,RT @thaboyjozu: It’s April but the only fool is me
220,RT @lambeth_council: March / April borough-wide Children’s Centre newsletter for families with children under 5 with information about spec…
221,"RT @dog_feelings: i wasn’t a good dog today

april fools. i was so good"
222,"RT @LAGuerrillas: It's always about making some noise, and you can't do that without the best. 

@ASTROGaming has you covered in our LA Gue…"
223,RT @thaboyjozu: It’s April but the only fool is me
224,"@RonMilnerBoodle Omg😂🤣😂🤣😂 
April fools or just a fool🤔

She's a #Badass https://t.co/K4vxkOajQj"
225,"RT @NEW___HIDEE: Volume Up.

""...Our Deungyoonie really grew up well (ft. Yoon Jong Shin) 

God Seungyoon, who even went to April Fool's da…"
226,"RT @broadcastben_: WOW! A deer smashes through the windshield of a school bus this morning, and lands on top of a student trying to sleep.…"
227,Current Salt Lake / Davis County Air Quality: Green(Good) as of April 1 @ 5:00 PM. PM 2.5: 9.1
228,RT @haveigotnews: Keir Starmer gets in on the April Fool’s Day fun by pretending to oppose the government on several key issues.
229,RT @voniotres: I wanna break up wit my bitch for April Fools but highkey i might be on my last straw wit her so ima be normal
230,RT @Heydavinaa_: no April fools jokes pls. nothing is funny right now.
231,"RT @enocbwaap: i wish i could say april fools for this but i can't get a refund on my time, mora, and talent materials https://t.co/9aZM47E…"
232,"I shed a single tear, hope its an April Fools joke.
Its not.
I drive home sad and hungry.
The End."
233,"RT @stellaris_22: [ARTICLE] MAMAMOO Wheein solo comeback with 1st mini album 'Redd' on April 13th @RBW_MAMAMOO 

""Redd"" means, ""Let's clean…"
234,RT @ArfanKHXN: I really ain’t see no April fool jokes😂😂😂 mfs was dead serious about shit not being funny this year 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂…
235,RT @CatholicSat: Still the best April Fool's ever ... https://t.co/4ICPHhPhwj
236,RT @dj_peejaay: Best APRIL FOOL video I’ve seen today 😂 😂 😂  https://t.co/TjO6U9J7WT
237,@Kristennetten A few April Fools might...
238,"Dam it’s April fools, reminds me of when I was a fool for you 😔 LMAOO"
239,"RT @dog_feelings: i wasn’t a good dog today

april fools. i was so good"
240,Participate in the April #Webull event to win awesome prizes! 4000 shares of TSLA stocks are waiting to be claimed. https://t.co/dL7IzQXCH2
241,At the end of February we collected 670 petition signatures against the UA entering Phase 2 of its COVID reentry pl… https://t.co/UMWTwc3T8o
242,got april fools pranked by my union... i’m pro right to work laws now
243,RT @userjsc: was sm founded on april fools bc their entire company is a joke
244,"RT @janae_page13: Save the date📌

This is the play for April 17th

I heard DJ Slick gon get us right 🔥

Contact @kenn_PHE for further detai…"
245,"RT @Qdears20211: @KevanKenney BE WITH ME by DIMASH
 starting with April 2
Listen on Spotify💯

REQUEST @dimash_official @MTV #FridayLivestre…"
246,RT @ArfanKHXN: I really ain’t see no April fool jokes😂😂😂 mfs was dead serious about shit not being funny this year 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂…
247,RT @JimHalpert__: no April Fool’s prank will ever top this 😂 https://t.co/hmyDuB5VRF
248,RT @ArfanKHXN: I really ain’t see no April fool jokes😂😂😂 mfs was dead serious about shit not being funny this year 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂…
249,RT @dore_report: Happy April Fools Day! Carey Spear fooled everyone on this trick play 😎 https://t.co/Nc3YQeIsP9
250,"RT @MySeikatsu: Happy April Fool's Day

#AprilFoolsDay #AprilFools #amongus #AmongUsfanart #ArtistOnTwitter https://t.co/qDoDX1MMxz"
251,RT @kyliesomasis: [posts a version of amen brother without the drum break] april fool :}
252,RT @fornatron: Yooo!!! This is NOT an April fools joke! Tonight I will be guest spotting on the coveted @TSGPLive ! Come check out the man…
253,"RT @natotally: There's been some misinformation going around about Pervis Payne. Payne is NOT being executed on April 9th, that is when his…"
254,april fools jokes aren't supposed to be cruel https://t.co/ADUam1TmqB
255,Listen ye firm of yank bastards April fools has finished stop lashing up major shit
256,"RT @OhItsK32: April will be filled with happiness. 
April will be filled with positivity. 
April will be filled with progress. 
April will…"
257,"RT @_rallycap: November: I miss baseball
December: I miss baseball
January: I miss baseball
February: I miss baseball
March: I miss basebal…"
258,"RT @salakrival: ✨TGID: THANK GOD IT’S DOYOUNG DAY✨

📆 Friday, 2 April 2021
🐰 Theme: Doyoung &amp; Gongmyung

KIM BROS😼👏

#NCT도영 #DOYOUNG #도영 #D…"
259,Oh no. I think I accidentally April fooled you OH NO OH NO. I *just* woke up from a nap and meant to be on cam by now 😣 o no
260,"RT @ProjectLincoln: On this April Fools Day, let’s remember what a joke the GOP has become."
261,RT @archivetwilight: happy april fool's day https://t.co/QzfpNKozrI
262,RT @joshsternberg: @nandoodles @Facebook this is an acceptable april fools' gag
263,"today is April fools, has me thinking about how i was a fool for not messaging you earlier. i don’t have a joke for… https://t.co/SdEQ4SGb1Q"
264,RT @JimHalpert__: no April Fool’s prank will ever top this 😂 https://t.co/hmyDuB5VRF
265,"RT @AvauKLclm79rDSq: DIMASH BE WITH ME 
DIMASH GOLDEN MV
DIMASH KIELI MEKEN

#DimashBeWithMe
#DimashQudaibergen

On April 2 on the official…"
266,@LilNasX SAY APRIL FOOLS RN
267,RT @VivziePop: Fizzy wishes you all a Merry Foolie on this holiday doodily April firsty 🤡 https://t.co/Hcpew4Fx0z
